Card,Name,Artist,Color,Rarity,Set
156,Basilica Bell-Haunt,Yeong-Hao Han,White/Black,U,Ravnica Allegiance
157,Bedevil,Seb McKinnon,Black/Red,R,Ravnica Allegiance
158,Biomancer's Familiar,Izzy,Blue/Green,R,Ravnica Allegiance
159,Bolrac-Clan Crusher,Craig J Spearing,Red/Green,U,Ravnica Allegiance
160,Captive Audience,Dmitry Burmak,Black/Red,M,Ravnica Allegiance
161,Cindervines,Mark Behm,Red/Green,R,Ravnica Allegiance
162,Clan Guildmage,Tomasz Jedruszek,Red/Green,U,Ravnica Allegiance
163,Combine Guildmage,Yeong-Hao Han,Blue/Green,U,Ravnica Allegiance
164,Cult Guildmage,Victor Adame Minguez,Black/Red,U,Ravnica Allegiance
165,Deputy of Detention,G-host Lee,White/Blue,R,Ravnica Allegiance
166,"Domri, Chaos Bringer",Zack Stella,Red/Green,M,Ravnica Allegiance
167,"Dovin, Grand Arbiter",Kieran Yanner,White/Blue,M,Ravnica Allegiance
168,Dovin's Acuity,Bastien L. Deharme,White/Blue,U,Ravnica Allegiance
169,Emergency Powers,Chris Rallis,White/Blue,M,Ravnica Allegiance
170,Ethereal Absolution,Eric Deschamps,White/Black,R,Ravnica Allegiance
171,Final Payment,Victor Adame Minguez,White/Black,C,Ravnica Allegiance
172,Fireblade Artist,Steve Argyle,Black/Red,U,Ravnica Allegiance
173,Frenzied Arynx,Filip Burburan,Red/Green,C,Ravnica Allegiance
174,Frilled Mystic,Randy Vargas,Blue/Green,U,Ravnica Allegiance
175,Galloping Lizrog,Lius Lasahido,Blue/Green,U,Ravnica Allegiance
176,Get the Point,Steve Argyle,Black/Red,C,Ravnica Allegiance
177,Grasping Thrull,Seb McKinnon,White/Black,C,Ravnica Allegiance
178,Growth Spiral,Seb McKinnon,Blue/Green,C,Ravnica Allegiance
179,Gruul Spellbreaker,Zoltan Boros,Red/Green,R,Ravnica Allegiance
180,Gyre Engineer,Anthony Palumbo,Blue/Green,U,Ravnica Allegiance
181,Hackrobat,Simon Dominic,Black/Red,U,Ravnica Allegiance
182,High Alert,Daarken,White/Blue,U,Ravnica Allegiance
183,Hydroid Krasis,Jason Felix,Blue/Green,M,Ravnica Allegiance
184,Imperious Oligarch,Johannes Voss,White/Black,C,Ravnica Allegiance
185,"Judith, the Scourge Diva",Wesley Burt,Black/Red,R,Ravnica Allegiance
186,"Kaya, Orzhov Usurper",Yongjae Choi,White/Black,M,Ravnica Allegiance
187,Kaya's Wrath,Victor Adame Minguez,White/Black,R,Ravnica Allegiance
188,Knight of the Last Breath,Milivoj Ćeran,White/Black,U,Ravnica Allegiance
